ID,Tweet,Label
0,My bullshit radar is on full force today,No
1,"<USER> Sorry, cut the Bull Shit Please.",Yes
2,@USER He is gay Heâ€™s a sick pervert he gets on my nerves,Yes
3,@USER @USER @USER Great. Hereâ€™s how today has gone: Floris wanted to spank me. Leah wanted to stab me. Curtis wonâ€™t back me up. Adam still looks great at 67 or however old as fuck he is... KL has a bigger dick than me but sheâ€™s a she...heðŸ¤”,No
4,@USER bitch Iâ€™m in the hood serving junkies in a Maybach !!!! ðŸ˜‚ðŸ˜‚,No
5,@USER @USER Ciara has stopped me from doing so much dumb ass shit god bless that woman,No
6,"<USER> nah bruh, try best hoodie ever. That's the shit that goes down when you don't have sex tho",No
7,@USER @USER Nonsense. Ford is doing what he campaign on. And he is doing a damn fine job. It good to see a politician keep his promises push things thru and get the done. The Conservative party has plenty of depth and is representing Ontarians quit,No
8,"@USER @USER @USER Give me a fucking break. Liberals are so selective with their false outrage. A turd of a president gets rightfully railed for saying, grab them by the pussy decades before but a Hollyweird gets a pass for saying fuck the shit out",No
9,@USER Iâ€™m finna say fuck it and get a crispy ass jogging suitðŸ˜‚ðŸ˜‚,No
10,@USER @USER Wish u folks luck w that. I think youâ€™re fucked though.. There will never be enough pro gun folks elected in California to turn the tide on gun control. The masses are convinced guns only equal bad. They already tell u which &amp; how,No
11,@USER @USER @USER @USER @USER Odd. Stating opinions comes with an attack cunt and assumption of a streamer using boobs for attention.) It was verbal diarrhea from a person who ought to know better.,Yes
12,@USER If you ainâ€™t hyping me up like the nigga in the back ima have to throw the whole friend away,No
13,@USER @USER @USER We call that game bullshit .,No
14,Sorry about those Immortalis tweets. Deleting that spam shit for everyone. Annoys me and prolly everyone else,No
15,@USER was she physically threatening the boys or us? was she completely slandering their name? no she wasnt. im honestly not for her saying that shit ya of course. like ya she said it and fucked up. but at least she owned up to it and apologized. b,No
16,Ainâ€™t missing shit ðŸ¤«ðŸ¤‘,No
17,@USER Blame Trump for the weather and the corruption that existed for decades in PR. What an ass typical democratic,Yes
18,@USER @USER lmao @ the WORLD league viewership compared to league of legends or overwatch or cs:go. Main issues are that the format is shit and the game is on console. So you need to fix one of them. Console could be turned into an advantage uf u c,No
19,Hey Jameson Nagle! 'Hell' just froze over! <URL>,No
20,@USER ur a fucking dumbass fr. thereâ€™s no way she is anyone elseâ€™s ðŸ˜‚,No
21,@USER @USER @USER @USER Lord Of The Pies should kept his cock holster shut. Nobody gives a toss what you Hollyweirdo's have to say. #MAGA,Yes
22,@USER Go to la casa de las micheladas!!!! They have some crazy ass ones!,No
23,@USER Never had. Let's fuck it up.,Yes
24,@USER @USER Corey Booker try to finger blast my ass as a teenager. #MAGA #WalkAway URL,No
25,@USER @USER @USER @USER @USER @USER @USER Or a piss up in a brewery !! Hat,No
26,@USER @USER bitch I wanna know,Yes
27,@USER ??? what the fuck ??,No
28,@USER I'm with ya I played the beta last night I'm a fan since bad company 2 mind u and that shit was fucking awful other than the gunplay which I was fine with the graphics themself are spooky as hell it's too bright for me makes me nauseous,No
29,<USER> Too old for that sh*t anymore...,No
30,I ain't afraid of shit <URL>,No
31,@USER Since Lebron eat ass I guess I have to now URL,No
32,@USER Am Eye See Kay He Why Am Oh You ass He,No
33,@USER @USER @USER @USER He's having a go at people who love David Gilmour but who think Roger Waters is a bit of a dick Obviously.,Yes
34,@USER bitch I fucking FELT THAT SHITðŸ¤§ðŸ’€,No
35,@USER shit,No
36,@USER Lake show fuck Corey Harris,Yes
37,@USER Alex this is so fuckin beautiful,No
38,@USER Kirinodere and the Curious Case of the fucked Customs Fees. 10/10 good book.,No
39,"My cat just ate 2 goldfish... yep, the cracker kind (surreptitiously stuck her nose in my bowl!).",No
40,"@USER It wasn't as if he was bothering her. However, after a moment she looked up from her phone and sighed. I'm sorry, growing up the way I did, I'm a little bit of a hard ass when people give me compliments, I apologise because you didn't â€”""",No
41,@USER @USER There should be a serious FBI investigation into this womanâ€™s motives behind this political hit job. This kind of shit is NEVER done to anyone other than conservatives. Such bullshit,Yes
42,@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdownðŸ˜‰,Yes
43,@USER Another dumbass Democrat. One thing you have to say about this president is heâ€™s not lazy. Another bullshit story as usual,Yes
44,Ain't got no chill for u bro. Stay the fuck away from me. ðŸ˜¤,Yes
45,@USER @USER @USER She took a polygraph to prove something to her husband. I think they were in counseling because she is frigid with her husband and he wants to know why. So she made up a cockamamy story as a coverup for her current lesbian affair.,No
46,<USER> your movies suck ass,Yes
47,@USER I eat some weird shit but this crossed the line,No
48,"Who the fuck vacuums.... Hardwood floors....at 10:30pm?! Oh right, the lady who lives above me",No
49,"I think some people just wake up and say 'I think I'll be a pissy bitch to everyone today, or everyday'.",No
50,@USER You are that mean ass cousin we all hate lol,No
51,@USER @USER @USER oh yeah Terry Porters 40 second PI Call (OSU alumn)... naw im over it... Your coach and his scumbag history... If you know anything about his history with Aaron Hernandez you would know what kind of scumbag he is... but OSU is a shith,Yes
52,@USER Yeah no batman made him eat a rat and be was mostly like yo fuck this guy hes not cool hes a lunatic until dick also wants to get violent,Yes
53,@USER I remember when the game just fucking started.,No
54,@USER Happy 1stbirthday to Savage(Songs from a Broken World)! This time lst yr it dropped in my door and damn did it do some shit ðŸŽ¶ Little did we all know the ride it was going to take you and us as fans on. Thank you for this masterpiece! #gary,No
55,Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL,No
56,@USER lets stretch bitches,No
57,<USER> Hell yeah I would!,No
58,@USER Empty headed bushie whore,Yes
59,@USER She's a Liberal professor dog. Always spewing her hatred against us Conservatives. You're going to hell with the rest of the Sleaze BAGS.,Yes
60,<USER> Caveman by bludgeoning! Way to hold it down for the 316! Good shit and congrats!,No
61,@USER No way.... Way too much talent on the Goonies. Iâ€™d like to see yall vs them tho real shit my gz.,No
62,<USER> lmao nothing beats a group of guys literally following you around the neighborhood. like piss off.,Yes
